Class No,Rate
26486,9.875
29078,0.0
26487,1.2
29079,0.0
26488,1.2
29080,0.0
26489,1.2
11398,0.0
26490,1.2083333333333333
11399,0.0
26491,1.2
11400,0.0
26492,1.2
11401,0.0
26493,1.2083333333333333
37769,0.0
26494,1.2083333333333333
34859,0.0
37217,0.0
37219,0.0
37221,0.0
37223,0.0
37225,0.0
37227,0.0
37229,0.0
37231,0.0
36633,0.0
25120,0.20833333333333334
41104,0.0
26420,0.041666666666666664
41105,0.0
37176,0.0
37178,0.0
27308,0.8
29081,0.0
27734,0.8
29082,0.0
37180,0.0
37182,0.0
24632,1.2
29122,0.0
23467,0.0
24557,0.5416666666666666
29083,0.0
35954,0.0
24586,0.8
29123,0.0
26409,0.0
30593,0.6666666666666666
29084,0.0
36435,0.20833333333333334
29086,0.0
36496,0.25
29087,0.0
25042,1.0
34876,0.0
37479,0.4583333333333333
34877,0.0
37572,0.2916666666666667
34879,0.0
37580,0.7083333333333334
27854,0.0
37594,0.4583333333333333
29106,0.0
37595,0.64
29107,0.0
35956,0.0
36069,0.0
28966,0.0
28968,0.0
27311,0.0
35028,0.0
22044,0.0
26542,0.0
21930,0.0
29886,3.2916666666666665
29125,0.0
29887,0.8
29126,0.0
29888,0.7916666666666666
35297,0.0
29889,0.8
35092,0.0
29890,0.8
37650,0.0
24456,0.0
11493,0.0
21922,0.0
21921,0.0
11502,0.0
26386,0.4166666666666667
29108,0.0
30320,0.0
27828,1.0
35093,0.0
11506,0.0
36498,0.25
29192,0.0
36504,0.375
29193,0.0
24439,0.0
27861,0.0
27434,0.25
29194,0.0
36499,0.3333333333333333
23374,0.0
11488,0.0
27880,0.0
36512,0.125
30539,0.0
19564,0.0
27830,0.4166666666666667
34925,0.0
27831,0.2916666666666667
35139,0.0
25193,0.0
30747,0.0
26404,0.48
35095,0.0
11496,0.0
30504,1.2
40952,0.0
11489,0.0
40459,1.9375
40909,0.0
11501,0.0
11498,0.0
19625,0.0
35096,0.0
11495,0.0
29314,0.5833333333333334
21771,0.0
11505,0.0
27723,0.7083333333333334
35007,0.0
11492,0.0
24467,0.16666666666666666
27190,0.0
23468,0.0
24468,0.08333333333333333
35008,0.0
11500,0.0
34822,0.5
30286,0.0
27027,0.0
37191,1.9583333333333333
17463,0.0
37762,0.5833333333333334
17464,0.0
37764,0.6666666666666666
17465,0.0
37766,0.68
17466,0.0
16220,0.0
29853,0.0
17092,0.0
28429,0.0
37315,0.4166666666666667
30287,0.0
37318,0.20833333333333334
30288,0.0
37321,0.20833333333333334
27273,0.0
16308,0.0
16266,0.0
16223,0.0
37689,0.7083333333333334
