Capacity,Available,Waitlist,PercentAvailable,Undergrad,Dept,CourseNum,StudyAbroad
50.0,1.0,5.0,0.02,True,PHIL,289,False
25.0,0.0,-1.0,0.0,True,PHIL,297,False
30.0,0.0,2.0,0.0,True,PHIL,298,False
50.0,1.0,13.0,0.02,True,PHIL,305,False
200.0,2.0,87.0,0.01,True,PHIL,340,False
50.0,0.0,9.0,0.0,True,PHIL,345,False
100.0,1.0,25.0,0.01,True,PHIL,361,False
50.0,1.0,3.0,0.02,True,PHIL,367,False
25.0,0.0,14.0,0.0,True,PHIL,375,False
60.0,0.0,13.0,0.0,True,PHIL,376,False
25.0,1.0,-1.0,0.04,True,PHIL,393,False
25.0,14.0,-1.0,0.56,True,PHIL,397,False
25.0,23.0,-2.0,0.92,True,PHIL,399,False
25.0,0.0,12.0,0.0,True,PHIL,409,False
25.0,1.0,-1.0,0.04,True,PHIL,413,False
25.0,0.0,6.0,0.0,True,PHIL,429,False
20.0,0.0,16.0,0.0,True,PHIL,440,False
50.0,0.0,11.0,0.0,True,PHIL,444,False
25.0,0.0,6.0,0.0,True,PHIL,450,False
38.0,0.0,9.0,0.0,True,PHIL,475,False
121.0,120.0,-6.0,0.9917355371900827,True,PHIL,499,False
12.0,1.0,2.0,0.08333333333333333,False,PHIL,511,False
15.0,0.0,4.0,0.0,False,PHIL,576,False
97.0,0.0,-1.0,0.0,False,PHIL,599,False
28.0,13.0,-1.0,0.4642857142857143,False,PHIL,610,False
15.0,6.0,-1.0,0.4,False,PHIL,611,False
15.0,3.0,-1.0,0.2,False,PHIL,619,False
15.0,2.0,-1.0,0.13333333333333333,False,PHIL,640,False
10.0,3.0,-1.0,0.3,False,PHIL,991,False
432.0,216.0,-10.0,0.5,False,PHIL,995,False
50.0,25.0,-1.0,0.5,True,PHRMACOL,399,False
50.0,9.0,0.0,0.18,True,PHRMACOL,425,False
40.0,20.0,-1.0,0.5,False,PHRMACOL,503,False
34.0,16.0,-1.0,0.47058823529411764,False,PHRMACOL,602,False
16.0,7.0,-1.0,0.4375,False,PHRMACOL,604,False
16.0,3.0,-2.0,0.1875,False,PHRMACOL,605,False
30.0,7.0,-1.0,0.23333333333333334,False,PHRMACOL,612,False
30.0,6.0,-1.0,0.2,False,PHRMACOL,615,False
30.0,8.0,-1.0,0.26666666666666666,False,PHRMACOL,616,False
30.0,9.0,-1.0,0.3,False,PHRMACOL,617,False
36.0,16.0,-1.0,0.4444444444444444,False,PHRMACOL,631,False
85.0,28.0,-1.0,0.32941176470588235,False,PHRMACOL,646,False
40.0,19.0,-1.0,0.475,False,PHRMACOL,722,False
390.0,194.0,-9.0,0.49743589743589745,False,PHRMACOL,990,False
1022.0,504.0,-22.0,0.4931506849315068,False,PHRMACOL,995,False
96.0,6.0,9.0,0.0625,True,PHYSICS,106,False
146.0,66.0,-1.0,0.4520547945205479,True,PHYSICS,115,False
28.0,3.0,-1.0,0.10714285714285714,True,PHYSICS,121,False
816.0,0.0,52.0,0.0,True,PHYSICS,140,False
536.0,208.0,-3.0,0.3880597014925373,True,PHYSICS,150,False
56.0,14.0,-1.0,0.25,True,PHYSICS,160,False
62.0,27.0,-1.0,0.43548387096774194,True,PHYSICS,210,False
440.0,2.0,15.0,0.004545454545454545,True,PHYSICS,240,False
440.0,28.0,-2.0,0.06363636363636363,True,PHYSICS,250,False
74.0,17.0,-1.0,0.22972972972972974,True,PHYSICS,260,False
158.0,61.0,-1.0,0.3860759493670886,True,PHYSICS,288,False
35.0,2.0,6.0,0.05714285714285714,True,PHYSICS,290,False
80.0,17.0,-1.0,0.2125,True,PHYSICS,340,False
40.0,0.0,2.0,0.0,True,PHYSICS,351,False
40.0,9.0,-1.0,0.225,True,PHYSICS,360,False
82.0,8.0,-1.0,0.0975609756097561,True,PHYSICS,390,False
45.0,0.0,1.0,0.0,True,PHYSICS,401,False
44.0,0.0,2.0,0.0,True,PHYSICS,405,False
40.0,12.0,-1.0,0.3,True,PHYSICS,406,False
55.0,23.0,-1.0,0.41818181818181815,True,PHYSICS,411,False
2.0,1.0,-1.0,0.5,True,PHYSICS,415,False
30.0,5.0,-1.0,0.16666666666666666,True,PHYSICS,417,False
25.0,11.0,-1.0,0.44,True,PHYSICS,430,False
40.0,0.0,1.0,0.0,True,PHYSICS,453,False
25.0,0.0,-1.0,0.0,True,PHYSICS,457,False
30.0,0.0,4.0,0.0,True,PHYSICS,460,False
25.0,3.0,-1.0,0.12,True,PHYSICS,463,False
26.0,25.0,-2.0,0.9615384615384616,True,PHYSICS,496,False
2.0,1.0,-1.0,0.5,True,PHYSICS,497,False
2.0,1.0,-1.0,0.5,True,PHYSICS,498,False
2.0,1.0,-1.0,0.5,True,PHYSICS,499,False
60.0,28.0,-1.0,0.4666666666666667,False,PHYSICS,501,False
46.0,15.0,-1.0,0.32608695652173914,False,PHYSICS,506,False
94.0,44.0,-1.0,0.46808510638297873,False,PHYSICS,512,False
2.0,1.0,-1.0,0.5,False,PHYSICS,515,False
38.0,18.0,-1.0,0.47368421052631576,False,PHYSICS,521,False
32.0,16.0,-1.0,0.5,False,PHYSICS,523,False
15.0,0.0,-1.0,0.0,False,PHYSICS,525,False
10.0,0.0,-1.0,0.0,False,PHYSICS,540,False
56.0,27.0,-1.0,0.48214285714285715,False,PHYSICS,542,False
36.0,19.0,-1.0,0.5277777777777778,False,PHYSICS,629,False
20.0,5.0,-1.0,0.25,False,PHYSICS,635,False
26.0,6.0,-2.0,0.23076923076923078,False,PHYSICS,651,False
2.0,1.0,-1.0,0.5,False,PHYSICS,715,False
102.0,76.0,-4.0,0.7450980392156863,False,PHYSICS,990,False
2384.0,1189.0,-50.0,0.498741610738255,False,PHYSICS,995,False
180.0,28.0,4.0,0.15555555555555556,True,PHYSIOL,201,False
48.0,24.0,-2.0,0.5,True,PHYSIOL,306,False
10.0,2.0,-1.0,0.2,True,PHYSIOL,415,False
26.0,6.0,-1.0,0.23076923076923078,False,PHYSIOL,510,False
32.0,16.0,-1.0,0.5,False,PHYSIOL,512,False
32.0,16.0,-1.0,0.5,False,PHYSIOL,513,False
32.0,15.0,-1.0,0.46875,False,PHYSIOL,514,False
26.0,12.0,-1.0,0.46153846153846156,False,PHYSIOL,520,False
42.0,20.0,-1.0,0.47619047619047616,False,PHYSIOL,541,False
7.0,1.0,-1.0,0.14285714285714285,False,PHYSIOL,545,False
28.0,9.0,-1.0,0.32142857142857145,False,PHYSIOL,555,False
20.0,9.0,-1.0,0.45,False,PHYSIOL,592,False
25.0,0.0,-1.0,0.0,False,PHYSIOL,599,False
25.0,2.0,-1.0,0.08,False,PHYSIOL,605,False
70.0,27.0,-1.0,0.38571428571428573,False,PHYSIOL,606,False
35.0,12.0,-1.0,0.34285714285714286,False,PHYSIOL,610,False
28.0,14.0,-4.0,0.5,False,PHYSIOL,702,False
1416.0,704.0,-30.0,0.4971751412429379,False,PHYSIOL,995,False
38.0,19.0,-1.0,0.5,False,PIBS,722,False
98.0,26.0,-1.0,0.2653061224489796,False,PIBS,800,False
20.0,6.0,-1.0,0.3,False,PMR,580,False
24.0,7.0,-1.0,0.2916666666666667,True,POLISH,122,False
9.0,4.0,-1.0,0.4444444444444444,True,POLISH,222,False
34.0,17.0,-1.0,0.5,True,POLISH,322,False
75.0,4.0,-1.0,0.05333333333333334,True,POLISH,331,False
24.0,10.0,-1.0,0.4166666666666667,True,POLISH,357,False
10.0,5.0,-1.0,0.5,True,POLISH,492,False
24.0,10.0,-1.0,0.4166666666666667,False,POLISH,557,False
24.0,7.0,-1.0,0.2916666666666667,False,POLISH,562,False
9.0,4.0,-1.0,0.4444444444444444,False,POLISH,564,False
34.0,17.0,-1.0,0.5,False,POLISH,566,False
220.0,42.0,2.0,0.19090909090909092,True,POLSCI,101,False
120.0,7.0,-1.0,0.058333333333333334,True,POLSCI,111,False
120.0,13.0,4.0,0.10833333333333334,True,POLSCI,140,False
138.0,41.0,1.0,0.2971014492753623,True,POLSCI,160,False
36.0,5.0,4.0,0.1388888888888889,True,POLSCI,190,False
75.0,2.0,-1.0,0.02666666666666667,True,POLSCI,307,False
75.0,3.0,3.0,0.04,True,POLSCI,311,False
75.0,0.0,45.0,0.0,True,POLSCI,312,False
60.0,24.0,21.0,0.4,True,POLSCI,325,False
100.0,0.0,31.0,0.0,True,POLSCI,334,False
60.0,2.0,5.0,0.03333333333333333,True,POLSCI,340,False
40.0,0.0,20.0,0.0,True,POLSCI,347,False
50.0,0.0,21.0,0.0,True,POLSCI,348,False
150.0,2.0,33.0,0.013333333333333334,True,POLSCI,369,False
52.0,25.0,-1.0,0.4807692307692308,True,POLSCI,373,False
75.0,0.0,2.0,0.0,True,POLSCI,378,False
50.0,0.0,7.0,0.0,True,POLSCI,381,False
25.0,25.0,-2.0,1.0,True,POLSCI,383,False
25.0,25.0,-2.0,1.0,True,POLSCI,384,False
50.0,0.0,13.0,0.0,True,POLSCI,385,False
60.0,0.0,2.0,0.0,True,POLSCI,387,False
145.0,0.0,33.0,0.0,True,POLSCI,389,False
120.0,28.0,-1.0,0.23333333333333334,True,POLSCI,391,False
25.0,15.0,-1.0,0.6,True,POLSCI,399,False
50.0,2.0,13.0,0.04,True,POLSCI,401,False
50.0,0.0,15.0,0.0,True,POLSCI,402,False
25.0,0.0,21.0,0.0,True,POLSCI,406,False
25.0,0.0,10.0,0.0,True,POLSCI,447,False
280.0,74.0,10.0,0.2642857142857143,True,POLSCI,489,False
32.0,5.0,-1.0,0.15625,True,POLSCI,494,False
25.0,0.0,3.0,0.0,True,POLSCI,495,False
25.0,0.0,3.0,0.0,True,POLSCI,496,False
20.0,0.0,3.0,0.0,True,POLSCI,497,False
25.0,0.0,1.0,0.0,True,POLSCI,499,False
16.0,5.0,-1.0,0.3125,False,POLSCI,619,False
32.0,16.0,-1.0,0.5,False,POLSCI,629,False
16.0,8.0,-1.0,0.5,False,POLSCI,630,False
10.0,0.0,1.0,0.0,False,POLSCI,661,False
15.0,3.0,-1.0,0.2,False,POLSCI,662,False
15.0,7.0,-1.0,0.4666666666666667,False,POLSCI,681,False
334.0,132.0,-7.0,0.39520958083832336,False,POLSCI,688,False
15.0,4.0,-1.0,0.26666666666666666,False,POLSCI,694,False
20.0,8.0,-1.0,0.4,False,POLSCI,699,False
15.0,6.0,-1.0,0.4,False,POLSCI,703,False
25.0,6.0,5.0,0.24,False,POLSCI,734,False
